case,use_tsm,seed,run_dir,best_pt,data_root,T,C,H,W,mean_ms,std_ms,median_ms,p95_ms,min_ms,max_ms,iters,warmup,test_acc_exact,test_acc_rot,test_acc_motion,test_acc_shape,test_loss,epochs_ran,best_epoch
FIX_MOT_FIX_ROT,False,123,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_FIX_ROT/20260216-191554_s123_noTSM,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_FIX_ROT/20260216-191554_s123_noTSM/best.pt,data/simpleForms/simpleForms_fmotion_frotation_s123,16,3,112,112,3.726646876335144,0.5536858462211713,3.6945279836654663,4.726483130455017,3.031167984008789,5.243648052215576,200,100,0.7933333333333333,0.8333333333333334,0.915,1.0,1.2168463945388794,100,87
FIX_MOT_FIX_ROT,False,456,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_FIX_ROT/20260216-234100_s456_noTSM,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_FIX_ROT/20260216-234100_s456_noTSM/best.pt,data/simpleForms/simpleForms_fmotion_frotation_s456,16,3,112,112,3.7338233578205107,0.5347712706561544,3.6778080463409424,4.685129451751708,3.039232015609741,5.1150078773498535,200,100,0.7566666666666667,0.8116666666666666,0.9016666666666666,1.0,1.4011483938495317,100,100
FIX_MOT_FIX_ROT,False,789,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_FIX_ROT/20260217-013436_s789_noTSM,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_FIX_ROT/20260217-013436_s789_noTSM/best.pt,data/simpleForms/simpleForms_fmotion_frotation_s789,16,3,112,112,3.731831841468811,0.5776895765342448,3.7059839963912964,4.897129821777343,3.037184000015259,5.150720119476318,200,100,0.71,0.7533333333333333,0.9233333333333333,0.9983333333333333,1.455508171717326,100,98
FIX_MOT_FIX_ROT,True,123,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_FIX_ROT/20260216-204357_s123_tsm,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_FIX_ROT/20260216-204357_s123_tsm/best.pt,data/simpleForms/simpleForms_fmotion_frotation_s123,16,3,112,112,3.6718616032600404,0.7401353059254296,3.2417280673980713,5.093268966674804,3.220031976699829,5.437248229980469,200,100,0.9966666666666667,0.9966666666666667,1.0,1.0,0.014086536594841164,62,47
FIX_MOT_FIX_ROT,True,123,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_FIX_ROT/20260218-112730_s123_tsm,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_FIX_ROT/20260218-112730_s123_tsm/best.pt,data/simpleForms/simpleForms_fmotion_frotation_s456,16,3,112,112,4.2086739301681515,0.9210960608708797,3.922384023666382,5.591038465499877,3.1751039028167725,5.956416130065918,200,100,0.9916666666666667,0.9916666666666667,1.0,1.0,0.031184145825294156,78,53
FIX_MOT_FIX_ROT,True,789,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_FIX_ROT/20260217-025213_s789_tsm,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_FIX_ROT/20260217-025213_s789_tsm/best.pt,data/simpleForms/simpleForms_fmotion_frotation_s789,16,3,112,112,4.908125602006912,1.1286839379391083,5.324383974075317,6.312521600723264,3.2234880924224854,8.974335670471191,200,100,0.9966666666666667,0.9966666666666667,1.0,1.0,0.019872175995260477,67,52
FIX_MOT_VAR_ROT,False,123,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_VAR_ROT/20260217-035100_s123_noTSM,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_VAR_ROT/20260217-035100_s123_noTSM/best.pt,data/simpleForms/simpleForms_fmotion_vrotation_s123,16,3,112,112,3.7193239998817442,0.5510199935217792,3.705839991569519,4.652596712112427,3.0351359844207764,5.320703983306885,200,100,0.30833333333333335,0.34,0.885,1.0,1.3646744585037232,19,4
FIX_MOT_VAR_ROT,False,456,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_VAR_ROT/20260217-051414_s456_noTSM,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_VAR_ROT/20260217-051414_s456_noTSM/best.pt,data/simpleForms/simpleForms_fmotion_vrotation_s456,16,3,112,112,4.079369592666626,0.7911735833388491,3.866976022720337,5.303310227394103,3.0310399532318115,5.6071038246154785,200,100,0.57,0.615,0.9133333333333333,1.0,1.9468986145655314,99,84
FIX_MOT_VAR_ROT,False,789,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_VAR_ROT/20260217-072343_s789_noTSM,runs/ResShift/100epochs/without_TSM_res/FIX_MOT_VAR_ROT/20260217-072343_s789_noTSM/best.pt,data/simpleForms/simpleForms_fmotion_vrotation_s789,16,3,112,112,3.443794878721237,0.3670026347369171,3.3511040210723877,4.113974595069886,3.0778560638427734,5.376128196716309,200,100,0.58,0.6316666666666667,0.9083333333333333,1.0,1.9889708503087362,95,80
FIX_MOT_VAR_ROT,True,123,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_VAR_ROT/20260217-040551_s123_tsm,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_VAR_ROT/20260217-040551_s123_tsm/best.pt,data/simpleForms/simpleForms_fmotion_vrotation_s123,16,3,112,112,3.8785238432884217,0.5797630274802227,3.887120008468628,5.045525002479553,3.1744000911712646,5.806079864501953,200,100,0.9983333333333333,0.9983333333333333,1.0,1.0,0.004464685789037806,78,63
FIX_MOT_VAR_ROT,True,456,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_VAR_ROT/20260217-063012_s456_tsm,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_VAR_ROT/20260217-063012_s456_tsm/best.pt,data/simpleForms/simpleForms_fmotion_vrotation_s456,16,3,112,112,4.336468654870987,0.8179987297994129,3.9894880056381226,5.510286474227906,3.1782400608062744,6.275872230529785,200,100,0.9983333333333333,0.9983333333333333,1.0,1.0,0.004304593302464734,61,46
FIX_MOT_VAR_ROT,True,789,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_VAR_ROT/20260217-083716_s789_tsm,runs/ResShift/100epochs/with_TSM_res/FIX_MOT_VAR_ROT/20260217-083716_s789_tsm/best.pt,data/simpleForms/simpleForms_fmotion_vrotation_s789,16,3,112,112,5.009774560928345,0.7225958319878713,5.238735914230347,5.7593022108078,3.190783977508545,6.221695899963379,200,100,0.9533333333333334,0.9533333333333334,1.0,1.0,0.15176526303092638,75,60
VAR_MOT_FIX_ROT,False,123,runs/ResShift/100epochs/without_TSM_res/VAR_MOT_FIX_ROT/20260217-094223_s123_noTSM,runs/ResShift/100epochs/without_TSM_res/VAR_MOT_FIX_ROT/20260217-094223_s123_noTSM/best.pt,data/simpleForms/simpleForms_vmotion_frotation_s123,16,3,112,112,3.3982153606414793,0.3824516092955138,3.127936005592346,4.105259108543396,3.083807945251465,4.728032112121582,200,100,0.255,0.33666666666666667,0.7983333333333333,1.0,1.5012037960688274,34,19
VAR_MOT_FIX_ROT,False,123,runs/ResShift/100epochs/without_TSM_res/VAR_MOT_FIX_ROT/20260217-173221_s789_noTSM,runs/ResShift/100epochs/without_TSM_res/VAR_MOT_FIX_ROT/20260217-173221_s789_noTSM/best.pt,data/simpleForms/simpleForms_vmotion_frotation_s789,16,3,112,112,3.857350877523422,0.4950798124813049,3.790320038795471,4.803879857063293,3.0182080268859863,5.753600120544434,200,100,0.29333333333333333,0.3466666666666667,0.8316666666666667,1.0,1.495542942682902,39,24
VAR_MOT_FIX_ROT,False,456,runs/ResShift/100epochs/without_TSM_res/VAR_MOT_FIX_ROT/20260217-113539_s456_noTSM,runs/ResShift/100epochs/without_TSM_res/VAR_MOT_FIX_ROT/20260217-113539_s456_noTSM/best.pt,data/simpleForms/simpleForms_vmotion_frotation_s456,16,3,112,112,4.927434083223343,0.35190522715358225,4.933984041213989,5.458288049697875,3.3034238815307617,5.995359897613525,200,100,0.2916666666666667,0.36333333333333334,0.8233333333333334,1.0,1.5188397789001464,46,31
VAR_MOT_FIX_ROT,True,123,runs/ResShift/100epochs/with_TSM_res/VAR_MOT_FIX_ROT/20260217-100855_s123_tsm,runs/ResShift/100epochs/with_TSM_res/VAR_MOT_FIX_ROT/20260217-100855_s123_tsm/best.pt,data/simpleForms/simpleForms_vmotion_frotation_s123,16,3,112,112,3.9887116777896883,0.5827142194746059,3.9078400135040283,5.126230335235595,3.1782400608062744,5.470208168029785,200,100,0.945,0.945,1.0,1.0,0.14876865642310197,100,96
VAR_MOT_FIX_ROT,True,123,runs/ResShift/100epochs/with_TSM_res/VAR_MOT_FIX_ROT/20260217-180933_s789_tsm,runs/ResShift/100epochs/with_TSM_res/VAR_MOT_FIX_ROT/20260217-180933_s789_tsm/best.pt,data/simpleForms/simpleForms_vmotion_frotation_s789,16,3,112,112,4.357844623327256,0.8346906725829492,4.230655908584595,5.4519296169281,3.1758079528808594,5.837183952331543,200,100,0.93,0.93,1.0,1.0,0.256308196928973,91,76
VAR_MOT_FIX_ROT,True,456,runs/ResShift/100epochs/with_TSM_res/VAR_MOT_FIX_ROT/20260217-121257_s456_tsm,runs/ResShift/100epochs/with_TSM_res/VAR_MOT_FIX_ROT/20260217-121257_s456_tsm/best.pt,data/simpleForms/simpleForms_vmotion_frotation_s456,16,3,112,112,4.100372952222824,0.7617371733152083,3.915471911430359,5.416747307777404,3.1723520755767822,6.050687789916992,200,100,0.9583333333333334,0.9583333333333334,1.0,1.0,0.11271681595593691,86,71
VAR_MOT_VAR_ROT,False,123,runs/ResShift/100epochs/without_TSM_res/VAR_MOT_VAR_ROT/20260217-193055_s123_noTSM,runs/ResShift/100epochs/without_TSM_res/VAR_MOT_VAR_ROT/20260217-193055_s123_noTSM/best.pt,data/simpleForms/simpleForms_vmotion_vrotation_s123,16,3,112,112,3.820416967868805,0.5069703557816997,3.7447519302368164,4.776412868499753,3.1273601055145264,5.460383892059326,200,100,0.4116666666666667,0.5183333333333333,0.815,0.9966666666666667,1.628458833694458,69,54
VAR_MOT_VAR_ROT,False,123,runs/ResShift/100epochs/without_TSM_res/VAR_MOT_VAR_ROT/20260218-000456_s123_noTSM,runs/ResShift/100epochs/without_TSM_res/VAR_MOT_VAR_ROT/20260218-000456_s123_noTSM/best.pt,data/simpleForms/simpleForms_vmotion_vrotation_s456,16,3,112,112,3.8937403178215027,0.6952289773668323,3.7939200401306152,5.034912204742431,3.028575897216797,5.2612481117248535,200,100,0.39,0.5033333333333333,0.8033333333333333,0.9916666666666667,2.861625588734945,100,86
VAR_MOT_VAR_ROT,False,123,runs/ResShift/100epochs/without_TSM_res/VAR_MOT_VAR_ROT/20260218-025151_s123_noTSM,runs/ResShift/100epochs/without_TSM_res/VAR_MOT_VAR_ROT/20260218-025151_s123_noTSM/best.pt,data/simpleForms/simpleForms_vmotion_vrotation_s789,16,3,112,112,4.1061950314044955,0.7189065683423888,3.8568320274353027,5.138867330551148,3.0275518894195557,5.424831867218018,200,100,0.24333333333333335,0.305,0.7966666666666666,1.0,1.5235097153981527,28,13
VAR_MOT_VAR_ROT,True,123,runs/ResShift/100epochs/with_TSM_res/VAR_MOT_VAR_ROT/20260217-203158_s123_tsm,runs/ResShift/100epochs/with_TSM_res/VAR_MOT_VAR_ROT/20260217-203158_s123_tsm/best.pt,data/simpleForms/simpleForms_vmotion_vrotation_s123,16,3,112,112,3.9758809769153594,0.5115859824180938,3.9370239973068237,4.946665549278259,3.176448106765747,5.327328205108643,200,100,0.8666666666666667,0.8666666666666667,1.0,1.0,0.5121755448977152,100,87
VAR_MOT_VAR_ROT,True,123,runs/ResShift/100epochs/with_TSM_res/VAR_MOT_VAR_ROT/20260218-012420_s123_tsm,runs/ResShift/100epochs/with_TSM_res/VAR_MOT_VAR_ROT/20260218-012420_s123_tsm/best.pt,data/simpleForms/simpleForms_vmotion_vrotation_s456,16,3,112,112,4.010231522321701,0.46912246752560943,3.9454879760742188,4.890380787849425,3.2413759231567383,5.219071865081787,200,100,0.8866666666666667,0.8866666666666667,1.0,1.0,0.3651639564583699,100,85
VAR_MOT_VAR_ROT,True,123,runs/ResShift/100epochs/with_TSM_res/VAR_MOT_VAR_ROT/20260218-031338_s123_tsm,runs/ResShift/100epochs/with_TSM_res/VAR_MOT_VAR_ROT/20260218-031338_s123_tsm/best.pt,data/simpleForms/simpleForms_vmotion_vrotation_s789,16,3,112,112,3.9049940860271453,0.5612263315205235,3.834223985671997,4.990979146957397,3.1795198917388916,5.310463905334473,200,100,0.8833333333333333,0.8833333333333333,1.0,1.0,0.5282226689780752,100,94
